LEMMA,FREQUENCY,f/M,LOG F/M,,
μαμά,271,199.96,3.30,Loading...,
τµήµα,271,199.96,3.30,Loading...,
ασχολούμαι,270,199.22,3.30,I am busy,
γωνία,270,199.22,3.30,Loading...,
δέχομαι,270,199.22,3.30,Loading...,
κάθετος,270,199.22,3.30,Loading...,
ολυμπιακός,270,199.22,3.30,Loading...,
χτίζω,270,199.22,3.30,Loading...,
νικώ,269,198.49,3.30,Loading...,
συνθήκη,269,198.49,3.30,condition,
ανεβαίνω,268,197.75,3.30,Loading...,
ποσότητα,268,197.75,3.30,Loading...,
τμήμα,268,197.75,3.30,Loading...,
πράσινος,267,197.01,3.29,Loading...,
φωτεινός,267,197.01,3.29,Loading...,
φωτίζω,267,197.01,3.29,Loading...,
κίνηση,266,196.27,3.29,Loading...,
κρήτη,265,195.53,3.29,Loading...,
προσπάθειά,264,194.80,3.29,Loading...,
ψωμί,263,194.06,3.29,Loading...,
μαθηματικά,262,193.32,3.29,Loading...,
βράδυ,261,192.58,3.28,Loading...,
γεωγραφικός,261,192.58,3.28,Loading...,
καλώ,261,192.58,3.28,Loading...,
αγωγή,259,191.11,3.28,Loading...,
ποτήρι,259,191.11,3.28,Loading...,
διαίρεση,258,190.37,3.28,division,
θεατρικός,258,190.37,3.28,Loading...,
καταφέρω,258,190.37,3.28,Loading...,
πρωί,258,190.37,3.28,Loading...,
άγαλμα,257,189.63,3.28,Loading...,
σώζω,257,189.63,3.28,Loading...,
αυτοκράτορας,255,188.16,3.27,Loading...,
ιησούς,255,188.16,3.27,Loading...,
ανάπτυξη,254,187.42,3.27,Loading...,
αντίστοιχος,254,187.42,3.27,Loading...,
πέτρος,254,187.42,3.27,Loading...,
πρόγραμμα,254,187.42,3.27,Loading...,
χαμηλός,254,187.42,3.27,Loading...,
ψηφίο,254,187.42,3.27,Loading...,
τούρκος,253,186.68,3.27,Loading...,
δώρο,252,185.94,3.27,Loading...,
εργάζομαι,251,185.20,3.27,Loading...,
οδυσσέας,251,185.20,3.27,Loading...,
δυνατός,250,184.47,3.27,Loading...,
παρά,250,184.47,3.27,Loading...,
συζήτηση,250,184.47,3.27,Loading...,
σύντομος,250,184.47,3.27,Loading...,
άκρη,249,183.73,3.26,Loading...,
ίσος,249,183.73,3.26,Loading...,
πλησιάζω,249,183.73,3.26,Loading...,
υπογραμμίζω,249,183.73,3.26,Loading...,
περιέχω,248,182.99,3.26,Loading...,
τόσος,248,182.99,3.26,Loading...,
άθροισμα,247,182.25,3.26,Loading...,
πείραμα,247,182.25,3.26,Loading...,
γεμάτος,246,181.51,3.26,Loading...,
είτε,246,181.51,3.26,either,
ένωση,246,181.51,3.26,Loading...,
βιβλιοθήκη,245,180.78,3.26,Loading...,
δεκάδα,245,180.78,3.26,Loading...,
εαυτός,245,180.78,3.26,Loading...,
περιοδικό,245,180.78,3.26,Loading...,
καλύπτω,244,180.04,3.26,Loading...,
παγκόσµιος,244,180.04,3.26,Loading...,
παρακολουθώ,244,180.04,3.26,Loading...,
ήλιος,243,179.30,3.25,Loading...,
μαύρος,243,179.30,3.25,Loading...,
σύνθετος,243,179.30,3.25,Loading...,
ταινία,243,179.30,3.25,Loading...,
σχετικός,241,177.83,3.25,Loading...,
ελιά,240,177.09,3.25,Loading...,
συμμετέχω,240,177.09,3.25,Loading...,
ψηλά,240,177.09,3.25,Loading...,
αλέξανδρος,239,176.35,3.25,Loading...,
αυλή,239,176.35,3.25,Loading...,
καλοκαίρι,239,176.35,3.25,summer,
μοτίβο,239,176.35,3.25,Loading...,
λειτουργώ,238,175.61,3.24,Loading...,
ξεχωρίζω,238,175.61,3.24,Loading...,
ποσοστό,238,175.61,3.24,Loading...,
κολλάω,236,174.14,3.24,Loading...,
πετρέλαιο,236,174.14,3.24,Loading...,
ακρίβεια,235,173.40,3.24,Loading...,
γεωμετρικός,235,173.40,3.24,Loading...,
γνώμη,235,173.40,3.24,Loading...,
διδάσκω,235,173.40,3.24,Loading...,
ευθύς,235,173.40,3.24,straight,
τελευταία,235,173.40,3.24,Loading...,
γελάω,234,172.66,3.24,Loading...,
εκατοστός,234,172.66,3.24,Loading...,
νόμος,234,172.66,3.24,Loading...,
αέριο,233,171.92,3.24,Loading...,
αποκτώ,233,171.92,3.24,Loading...,
δηλώνω,233,171.92,3.24,Loading...,
καινούριος,233,171.92,3.24,Loading...,
κερδίζω,233,171.92,3.24,Loading...,
φοβίζω,233,171.92,3.24,Loading...,
δοκιμάζω,232,171.18,3.23,Loading...,
ξύλο,231,170.45,3.23,Loading...,
προσοχή,231,170.45,3.23,Loading...,
θάνατος,230,169.71,3.23,Loading...,
αναζητώ,229,168.97,3.23,Loading...,
έτος,229,168.97,3.23,Loading...,
κήπος,229,168.97,3.23,Loading...,
εμφανίζω,228,168.23,3.23,Loading...,
κοινωνικός,228,168.23,3.23,Loading...,
παιδικός,228,168.23,3.23,Loading...,
πλανήτης,228,168.23,3.23,planet,
πορεία,228,168.23,3.23,Loading...,
γάτα,227,167.49,3.22,Loading...,
μέγεθος,227,167.49,3.22,Loading...,
χαρτόνι,227,167.49,3.22,Loading...,
χρυσός,227,167.49,3.22,Loading...,
ψυχή,227,167.49,3.22,Loading...,
βαθμός,226,166.76,3.22,Loading...,
λεξικό,226,166.76,3.22,Loading...,
πόρτα,226,166.76,3.22,Loading...,
φανερώνω,226,166.76,3.22,Loading...,
κοιμούμαι,225,166.02,3.22,Loading...,
παίκτης,225,166.02,3.22,Loading...,
διακρίνω,224,165.28,3.22,Loading...,
στίχος,224,165.28,3.22,Loading...,
έθιμο,223,164.54,3.22,Loading...,
κατεβαίνω,223,164.54,3.22,get off,
πέτρα,223,164.54,3.22,Loading...,
ποτάμι,223,164.54,3.22,Loading...,
αγγείο,222,163.81,3.21,Loading...,
μέτρηση,222,163.81,3.21,Loading...,
σκοτώνω,222,163.81,3.21,Loading...,
χιόνι,222,163.81,3.21,Loading...,
αγόρι,221,163.07,3.21,boy,
ασία,221,163.07,3.21,Loading...,
αρχηγός,220,162.33,3.21,Loading...,
εβδομάδα,220,162.33,3.21,Loading...,
προσπάθεια,220,162.33,3.21,Loading...,
συγκεκριµένος,220,162.33,3.21,Loading...,
τραβώ,220,162.33,3.21,Loading...,
έντονος,219,161.59,3.21,Loading...,
συγκεκριμένος,219,161.59,3.21,Loading...,
σχολικός,219,161.59,3.21,Loading...,
τραβάω,219,161.59,3.21,Loading...,
ποιητής,218,160.85,3.21,Loading...,
πολλαπλασιάζω,218,160.85,3.21,Loading...,
χάρη,218,160.85,3.21,Loading...,
κύμα,217,160.12,3.20,Loading...,
κυρία,217,160.12,3.20,Loading...,
μάλιστα,217,160.12,3.20,Loading...,
αντίστροφος,216,159.38,3.20,Loading...,
κοιτάζω,216,159.38,3.20,Loading...,
παραδοσιακός,216,159.38,3.20,Loading...,
αριστερός,215,158.64,3.20,Loading...,
ηλικία,215,158.64,3.20,Loading...,
κοστίζω,215,158.64,3.20,Loading...,
σκέφτομαι,215,158.64,3.20,Loading...,
γραφή,214,157.90,3.20,Loading...,
μέγας,214,157.90,3.20,Loading...,
αναγνωρίζω,212,156.43,3.19,Loading...,
θεσσαλονίκη,212,156.43,3.19,Loading...,
κωνσταντινούπολη,212,156.43,3.19,Loading...,
σχεδόν,212,156.43,3.19,Loading...,
χαρίζω,212,156.43,3.19,Loading...,
υγεία,211,155.69,3.19,Loading...,
επικοινωνώ,210,154.95,3.19,Loading...,
κατοικώ,210,154.95,3.19,Loading...,
μήνας,210,154.95,3.19,Loading...,
προχωρώ,210,154.95,3.19,proceed,
σύνολο,210,154.95,3.19,Loading...,
ζωντανός,209,154.21,3.19,Loading...,
ήπειρος,208,153.48,3.19,Loading...,
κίνδυνος,208,153.48,3.19,Loading...,
μάχη,208,153.48,3.19,battle,
στρατιώτης,208,153.48,3.19,Loading...,
διαδίκτυο,207,152.74,3.18,Loading...,
εφαρμογή,207,152.74,3.18,Loading...,
καταστροφή,207,152.74,3.18,Loading...,
σκληρός,207,152.74,3.18,Loading...,
φαγητό,207,152.74,3.18,Loading...,
σταυρός,206,152.00,3.18,cross,
ύµνος,206,152.00,3.18,Loading...,
αντωνυμία,205,151.26,3.18,Loading...,
μεταφορά,205,151.26,3.18,Loading...,
παραγωγή,205,151.26,3.18,Loading...,
σημερινός,205,151.26,3.18,Loading...,
τελευταίος,205,151.26,3.18,Loading...,
φαντασία,205,151.26,3.18,Loading...,
άνεμος,204,150.52,3.18,Loading...,
ελευθερία,204,150.52,3.18,Loading...,
μύθος,204,150.52,3.18,Loading...,
νους,204,150.52,3.18,Loading...,
ρούχο,204,150.52,3.18,Loading...,
άγνωστος,202,149.05,3.17,Loading...,
νόμισμα,202,149.05,3.17,currency,
συμπεριφορά,202,149.05,3.17,behavior,
αληθινός,201,148.31,3.17,Loading...,
βροχή,201,148.31,3.17,Loading...,
δέκα,201,148.31,3.17,Loading...,
δυσκολία,201,148.31,3.17,Loading...,
κοιμάμαι,201,148.31,3.17,Loading...,
παρέα,201,148.31,3.17,Loading...,
σύννεφο,201,148.31,3.17,Loading...,
ρεύμα,200,147.57,3.17,Loading...,
απλώνω,199,146.83,3.17,Loading...,
σοφία,198,146.10,3.16,Loading...,
σπουδαίος,198,146.10,3.16,Loading...,
αθηναίος,197,145.36,3.16,Loading...,
απόσπασμα,197,145.36,3.16,excerpt,
θεά,197,145.36,3.16,Loading...,
θρησκεία,197,145.36,3.16,Loading...,
,,,,,
,,,,,
ωραία,197,145.36,3.16,Loading...,
κενό,196,144.62,3.16,Loading...,
κλαίω,196,144.62,3.16,Loading...,
πολιτεία,196,144.62,3.16,Loading...,
φοβούμαι,196,144.62,3.16,Loading...,
γιορτάζω,195,143.88,3.16,Loading...,
συγγραφέας,195,143.88,3.16,Loading...,
ύμνος,195,143.88,3.16,Loading...,
υπηρεσία,195,143.88,3.16,Loading...,
δίας,194,143.15,3.16,Loading...,
διάστημα,194,143.15,3.16,Loading...,
καθαρός,194,143.15,3.16,Loading...,
λευκός,194,143.15,3.16,Loading...,
μόριο,194,143.15,3.16,Loading...,
σιγά,194,143.15,3.16,Loading...,
τραπέζι,194,143.15,3.16,Loading...,
δεξιά,193,142.41,3.15,Loading...,
μηχανή,192,141.67,3.15,Loading...,
ευτυχώ,191,140.93,3.15,Loading...,
κυριακή,191,140.93,3.15,Loading...,
πίνω,191,140.93,3.15,Loading...,
διηγούμαι,190,140.19,3.15,Loading...,
έπειτα,190,140.19,3.15,Loading...,
περπατώ,190,140.19,3.15,Loading...,
πιστός,190,140.19,3.15,Loading...,
χιλιόμετρο,190,140.19,3.15,Loading...,
ανακοινώνω,189,139.46,3.14,communicate,
μέση,189,139.46,3.14,Loading...,
αυγό,188,138.72,3.14,Loading...,
επάγγελμα,188,138.72,3.14,Loading...,
ουσία,188,138.72,3.14,substance,
προστασία,188,138.72,3.14,Loading...,
κοινό,187,137.98,3.14,Loading...,
πεθαίνω,187,137.98,3.14,Loading...,
γάλα,186,137.24,3.14,Loading...,
καταστρέφω,186,137.24,3.14,Loading...,
ξαφνικός,186,137.24,3.14,Loading...,
συνήθεια,186,137.24,3.14,Loading...,
φτωχός,186,137.24,3.14,poor,
αίμα,185,136.50,3.14,Loading...,
αναλαβαίνω,185,136.50,3.14,I undertake,
σύστημα,185,136.50,3.14,system,
διαπιστώνω,184,135.77,3.13,Loading...,
κλίμα,184,135.77,3.13,Loading...,
μήνυμα,184,135.77,3.13,Loading...,
παράγραφος,184,135.77,3.13,Loading...,
συνοδεύω,184,135.77,3.13,Loading...,
άποψη,183,135.03,3.13,Loading...,
έως,183,135.03,3.13,Loading...,
κοινότητα,183,135.03,3.13,community,
πέρσης,183,135.03,3.13,Loading...,
πρωτεύω,183,135.03,3.13,Loading...,
υπολογισμός,183,135.03,3.13,Loading...,
δημιουργία,182,134.29,3.13,Loading...,
διαδρομή,182,134.29,3.13,Loading...,
ευρώ,182,134.29,3.13,Loading...,
πληθυντικός,182,134.29,3.13,Loading...,
ρώμη,182,134.29,3.13,Loading...,
συσκευή,182,134.29,3.13,Loading...,
διεθνής,181,133.55,3.13,Loading...,
έννοια,181,133.55,3.13,Loading...,
εξουσία,181,133.55,3.13,Loading...,
περπατάω,181,133.55,3.13,Loading...,
πετυχαίνω,181,133.55,3.13,Loading...,
τοίχος,181,133.55,3.13,Loading...,
απόφαση,180,132.82,3.12,Loading...,
αφαίρεση,180,132.82,3.12,Loading...,
βυζάντιος,180,132.82,3.12,Loading...,
έτοιμος,180,132.82,3.12,Loading...,
κύπρος,180,132.82,3.12,Loading...,
μπλε,180,132.82,3.12,Loading...,
ιερό,179,132.08,3.12,Loading...,
νικόλαος,179,132.08,3.12,Loading...,
παράλληλος,179,132.08,3.12,Loading...,
πληρώ,179,132.08,3.12,Loading...,
στηρίζω,179,132.08,3.12,Loading...,
ταχύτητα,179,132.08,3.12,Loading...,
χειµώνας,179,132.08,3.12,Loading...,
δόντι,178,131.34,3.12,Loading...,
εντύπωση,178,131.34,3.12,Loading...,
μήπως,178,131.34,3.12,Loading...,
άλογο,177,130.60,3.12,Loading...,
γραπτός,177,130.60,3.12,Loading...,
σίγουρος,177,130.60,3.12,Loading...,
αναγκάζω,176,129.86,3.11,Loading...,
μολύβι,176,129.86,3.11,Loading...,
συνηθίζω,176,129.86,3.11,Loading...,
χρονιά,176,129.86,3.11,Loading...,
λάδι,175,129.13,3.11,Loading...,
ξένος,175,129.13,3.11,Loading...,
διατηρώ,174,128.39,3.11,Loading...,
καίω,174,128.39,3.11,Loading...,
παγκόσμιος,174,128.39,3.11,Loading...,
σκέψη,174,128.39,3.11,Loading...,
χαρούμενος,174,128.39,3.11,Loading...,
χειμώνας,174,128.39,3.11,Loading...,
ανάβω,173,127.65,3.11,Loading...,
καθίζω,173,127.65,3.11,Loading...,
παράξενος,173,127.65,3.11,Loading...,
χαρακτήρας,173,127.65,3.11,Loading...,
χαρακτηρίζω,173,127.65,3.11,Loading...,
αισθάνομαι,172,126.91,3.10,Loading...,
αόριστος,172,126.91,3.10,Loading...,
εξαρτώ,172,126.91,3.10,Loading...,
κίτρινος,172,126.91,3.10,Loading...,
σκύλος,172,126.91,3.10,dog,
ασφάλεια,171,126.17,3.10,Loading...,
γνώση,171,126.17,3.10,Loading...,
ορθογώνιος,171,126.17,3.10,Loading...,
χαράζω,171,126.17,3.10,Loading...,
προέρχομαι,170,125.44,3.10,Loading...,
στερώ,170,125.44,3.10,Loading...,
συμφωνώ,170,125.44,3.10,Loading...,
φρούτο,170,125.44,3.10,Loading...,
βασίλειος,169,124.70,3.10,Loading...,
δράση,169,124.70,3.10,Loading...,
επτά,169,124.70,3.10,Loading...,
κάποτε,169,124.70,3.10,Loading...,
συνεργασία,169,124.70,3.10,Loading...,
χρήσιμος,169,124.70,3.10,Loading...,
απέναντι,168,123.96,3.09,opposite,
επικοινωνία,168,123.96,3.09,Loading...,
πνεύμα,168,123.96,3.09,Loading...,
τείχος,168,123.96,3.09,Loading...,
τονίζω,168,123.96,3.09,Loading...,
δεδομένος,167,123.22,3.09,Loading...,
εντοπίζω,167,123.22,3.09,Loading...,
παράγων,167,123.22,3.09,Loading...,
εκπαιδευτικός,166,122.49,3.09,Loading...,
μέλλον,166,122.49,3.09,Loading...,
μυστικός,166,122.49,3.09,Loading...,
τιμώ,166,122.49,3.09,Loading...,
αγορά,165,121.75,3.09,Loading...,
ανοιχτός,165,121.75,3.09,Loading...,
ελένη,165,121.75,3.09,Loading...,
εναντίον,165,121.75,3.09,Loading...,
ευχαριστώ,165,121.75,3.09,Loading...,
ρυθμικός,165,121.75,3.09,Loading...,
φαινόμενο,165,121.75,3.09,Loading...,
μηχάνημα,164,121.01,3.08,Loading...,
όνειρο,164,121.01,3.08,dream,
άνοιξη,163,120.27,3.08,Loading...,
αξίζω,163,120.27,3.08,Loading...,
βράχος,163,120.27,3.08,Loading...,
θεία,163,120.27,3.08,Loading...,
θερμότητα,163,120.27,3.08,Loading...,
καρπός,163,120.27,3.08,Loading...,
ξεχωριστός,163,120.27,3.08,Loading...,
πλούσιος,163,120.27,3.08,rich,
αγωνίζομαι,162,119.53,3.08,Loading...,
αθλητικός,162,119.53,3.08,Loading...,
κοινωνία,162,119.53,3.08,society,
κτίριο,162,119.53,3.08,Loading...,
σταθμός,162,119.53,3.08,station,
αίθουσα,161,118.80,3.07,Loading...,
άσπρος,161,118.80,3.07,Loading...,
πρωτεύων,161,118.80,3.07,Loading...,
στόχος,161,118.80,3.07,Loading...,
άλλοτε,160,118.06,3.07,Loading...,
αυξάνω,160,118.06,3.07,Loading...,
ιερέας,160,118.06,3.07,Loading...,
νίκη,160,118.06,3.07,Loading...,
πεδιάδα,160,118.06,3.07,Loading...,
πεινώ,160,118.06,3.07,Loading...,
συναίσθηµα,160,118.06,3.07,Loading...,
χριστιανικός,160,118.06,3.07,Loading...,
διάλογος,159,117.32,3.07,Loading...,
επάνω,159,117.32,3.07,Loading...,
επιστρέφω,159,117.32,3.07,Loading...,
κεντρικός,159,117.32,3.07,Loading...,
λαϊκός,159,117.32,3.07,Loading...,
λευκό,159,117.32,3.07,Loading...,
ομαδικός,159,117.32,3.07,Loading...,
παράθεμα,159,117.32,3.07,Loading...,
παρελθόν,159,117.32,3.07,Loading...,
φίλη,159,117.32,3.07,Loading...,
γιατρός,158,116.58,3.07,Loading...,
δοχείο,158,116.58,3.07,Loading...,
επίσκεψη,158,116.58,3.07,Loading...,
εχθρός,158,116.58,3.07,Loading...,
ημερολόγιο,158,116.58,3.07,Loading...,
ιδιότητα,158,116.58,3.07,Loading...,
ίσα,158,116.58,3.07,Loading...,
μπαμπάς,158,116.58,3.07,Loading...,
όγκος,158,116.58,3.07,Loading...,
παρατήρηση,158,116.58,3.07,Loading...,
είδηση,157,115.84,3.06,news,
ζωγραφικός,157,115.84,3.06,painterly,
ζωγράφος,157,115.84,3.06,Loading...,
οριστικός,157,115.84,3.06,Loading...,
οφείλω,157,115.84,3.06,Loading...,
προσευχή,157,115.84,3.06,Loading...,
στόµα,157,115.84,3.06,Loading...,
δημοκρατία,156,115.11,3.06,Loading...,
ενδιαφέρον,156,115.11,3.06,Loading...,
ενικός,156,115.11,3.06,Loading...,
έξη,156,115.11,3.06,Loading...,
επίπεδο,156,115.11,3.06,Loading...,
ξανά,156,115.11,3.06,Loading...,
βέβαια,155,114.37,3.06,Loading...,
αστέρι,154,113.63,3.06,Loading...,
καλλιτέχνης,154,113.63,3.06,Loading...,
κωνσταντίνος,154,113.63,3.06,Loading...,
ομορφιά,154,113.63,3.06,Loading...,
παντού,154,113.63,3.06,Loading...,
ενδιαφέρω,153,112.89,3.05,Loading...,
κάλαντα,153,112.89,3.05,Loading...,
κατηγορία,153,112.89,3.05,Loading...,
μέσο,153,112.89,3.05,means,
παράθυρο,153,112.89,3.05,Loading...,
σοκολάτα,153,112.89,3.05,Loading...,
εσωτερικό,152,112.16,3.05,Loading...,
θυμώνω,152,112.16,3.05,Loading...,
πολιτική,152,112.16,3.05,Loading...,
πουλάω,152,112.16,3.05,Loading...,
στολίζω,152,112.16,3.05,Loading...,
τοπικός,152,112.16,3.05,Loading...,
διαδικασία,151,111.42,3.05,Loading...,
κύβος,151,111.42,3.05,Loading...,
λιμάνι,151,111.42,3.05,Loading...,
μελωδία,151,111.42,3.05,Loading...,
μετακινώ,151,111.42,3.05,Loading...,
περιλαμβάνω,151,111.42,3.05,Loading...,
πλαστικός,151,111.42,3.05,Loading...,
συλλογή,151,111.42,3.05,Loading...,
διακοπή,150,110.68,3.04,Loading...,
δίψηφος,150,110.68,3.04,two-vote,
επιτρέπω,150,110.68,3.04,Loading...,
κλίνω,150,110.68,3.04,Loading...,
μήλο,150,110.68,3.04,Loading...,
νεκρός,150,110.68,3.04,Loading...,
παραλληλόγραμμος,150,110.68,3.04,Loading...,
παρένθεση,150,110.68,3.04,Loading...,
σκάλα,150,110.68,3.04,Loading...,
φίλιππος,150,110.68,3.04,Loading...,
αντί,149,109.94,3.04,Loading...,
